@relation NEW_INSTANCES_TRAIN

@attribute 0 {1,0}
@attribute 1 {1,0}
@attribute 2 {1,0}
@attribute 3 {1,0}
@attribute 4 {1,0}
@attribute 5 {1,0}
@attribute 6 {1,0}
@attribute 7 {1,0}
@attribute 8 {1,0}
@attribute 9 {1,0}
@attribute 10 {1,0}
@attribute 11 {1,0}
@attribute 12 {1,0}
@attribute 13 {1,0}
@attribute 14 {1,0}
@attribute 15 {1,0}
@attribute 16 {1,0}
@attribute 17 {1,0}
@attribute 18 {1,0}
@attribute 19 {1,0}
@attribute 20 {1,0}
@attribute 21 {1,0}
@attribute 22 {1,0}
@attribute 23 {1,0}
@attribute 24 {1,0}
@attribute 25 {1,0}
@attribute 26 {1,0}
@attribute 27 {1,0}
@attribute 28 {1,0}
@attribute 29 {1,0}
@attribute 30 {1,0}
@attribute 31 {1,0}
@attribute 32 {1,0}
@attribute 33 {1,0}
@attribute 34 {1,0}
@attribute 35 {1,0}
@attribute 36 {1,0}
@attribute 37 {1,0}
@attribute 38 {1,0}
@attribute 39 {1,0}
@attribute 40 {1,0}
@attribute 41 {1,0}
@attribute 42 {1,0}
@attribute 43 {1,0}
@attribute 44 {1,0}
@attribute 45 {1,0}
@attribute 46 {1,0}
@attribute 47 {1,0}
@attribute 48 {1,0}
@attribute 49 {1,0}
@attribute 50 {1,0}
@attribute 51 {1,0}
@attribute 52 {1,0}
@attribute 53 {1,0}
@attribute 54 {1,0}
@attribute 55 {1,0}
@attribute 56 {1,0}
@attribute 57 {1,0}
@attribute 58 {1,0}
@attribute 59 {1,0}
@attribute 60 {1,0}
@attribute 61 {1,0}
@attribute 62 {1,0}
@attribute 63 {1,0}
@attribute 64 {1,0}
@attribute 65 {1,0}
@attribute 66 {1,0}
@attribute 67 {1,0}
@attribute 68 {1,0}
@attribute 69 {1,0}
@attribute 70 {1,0}
@attribute 71 {1,0}
@attribute 72 {1,0}
@attribute 73 {1,0}
@attribute 74 {1,0}
@attribute 75 {1,0}
@attribute 76 {1,0}
@attribute 77 {1,0}
@attribute 78 {1,0}
@attribute 79 {1,0}
@attribute 80 {1,0}
@attribute 81 {1,0}
@attribute 82 {1,0}
@attribute 83 {1,0}
@attribute 84 {1,0}
@attribute 85 {1,0}
@attribute 86 {1,0}
@attribute 87 {1,0}
@attribute 88 {1,0}
@attribute 89 {1,0}
@attribute 90 {1,0}
@attribute 91 {1,0}
@attribute 92 {1,0}
@attribute 93 {1,0}
@attribute 94 {1,0}
@attribute 95 {1,0}
@attribute 96 {1,0}
@attribute 97 {1,0}
@attribute 98 {1,0}
@attribute 99 {1,0}
@attribute Class {+,-}

@data
1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,+
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,-
1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,+
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,+
0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,-
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,-
1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,+
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,+
1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,-
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,-
